column_name,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
year,110.0,2015.5,2.8854268442285096,2011.0,2011.0,2011.0,2011.8999999999999,2013.0,2015.5,2018.0,2019.1000000000001,2020.0,2020.0,2020.0
fao_stocks_chickens_thsdhd,99.0,1691602.6464646466,2782111.626153042,95273.0,96886.08,104969.5,118322.8,139028.5,232910.0,1337039.5,5818398.40000001,8697500.0,9178098.0,9222100.0
fao_yield_chickens_tenthgramperhd,110.0,17033.845454545455,2896.180740933388,12409.0,12839.2,13219.55,13554.5,14686.25,16641.0,18646.75,21600.1,22640.1,23288.46,23711.0
fao_production_chickens_tonnes,110.0,5193805.372727273,6285391.803299278,840922.0,888594.53,911497.4,967874.1,1057952.5,1442500.0,11857007.75,15455892.800000004,18099689.25,20118420.919999998,20490251.0
fao_slaughtered_chickens_thsdhd,110.0,2909138.2636363637,3397848.2933189273,504321.0,505710.66,534037.5,568214.0,638751.75,846243.0,5367241.0,9163668.9,9585851.15,10755832.819999998,11050548.0
fao_stocks_chickens_thsdhd_lag,91.0,1653025.6153846155,2752025.3410644545,95273.0,96754.40000000001,105402.0,118640.0,138046.5,183121.0,1323601.0,5157248.0,8648150.0,9052190.0,9177200.0
fao_stockschange_chickens_thsdhd,87.0,13906.551724137931,67149.70047808636,-304763.0,-216849.5,-36087.9,-11762.000000000004,-574.0,4553.0,16901.5,82619.80000000005,142260.0,182735.38,205583.0
fao_producerprice_chickens_carcass_lcupertonne,20.0,1350.9,218.89456726686336,1032.0,1035.8000000000002,1051.0,1101.5,1156.0,1335.5,1540.0,1591.1,1614.8500000000001,1688.57,1707.0
fao_producerprice_chickens_live_lcupertonne,64.0,1741.578125,1189.3986716609404,772.0,787.75,825.25,844.0,919.0,1184.0,1749.75,3705.8999999999996,3869.5,4913.789999999999,5082.0
fao_producerprice_chickens_carcass_slcpertonne,20.0,1350.9,218.89456726686336,1032.0,1035.8000000000002,1051.0,1101.5,1156.0,1335.5,1540.0,1591.1,1614.8500000000001,1688.57,1707.0
fao_producerprice_chickens_live_slcpertonne,64.0,1741.578125,1189.3986716609404,772.0,787.75,825.25,844.0,919.0,1184.0,1749.75,3705.8999999999996,3869.5,4913.789999999999,5082.0
fao_producerprice_chickens_carcass_usdpertonne,20.0,1602.25,343.1950304817487,1142.0,1149.0300000000002,1177.15,1223.1000000000001,1353.25,1518.0,1742.75,2116.5,2196.65,2252.13,2266.0
fao_producerprice_chickens_live_usdpertonne,64.0,1267.84375,317.1230405023582,825.0,838.23,891.15,919.6,1004.25,1203.5,1510.25,1648.4,1932.1499999999994,2004.4199999999998,2046.0
fao_producerprice_chickens_carcass_index,90.0,100.47777777777777,14.58275707796733,55.0,66.57000000000001,77.9,84.0,94.0,101.0,106.0,114.10000000000001,118.55,147.55,152.0
fao_producerprice_chickens_live_index,90.0,98.9,10.468840872488373,55.0,66.57000000000001,84.0,88.0,95.0,99.0,105.0,110.0,110.55,120.97999999999999,137.0
euro_chickshatched_broilers_slct_thsdhd,69.0,7622.169420289854,7265.557818043632,0.0,0.0,0.0,0.0,0.0,7894.77,11420.35,20455.0,21358.6,22443.16,22503.0
euro_chickshatched_broilers_thsdhd,69.0,726079.1857971015,237537.58699612253,397098.0,408360.16000000003,440011.6,456477.60000000003,523732.0,654164.85,879899.92,1053655.6260000002,1133202.2519999999,1332048.8631999996,1362190.72
euro_chickshatched_layers_slct_thsdhd,69.0,787.8244927536232,1244.2720223825384,0.0,0.0,0.0,0.0,0.0,0.0,2062.0,2595.0,2954.257999999999,4042.5791999999988,4142.24
euro_chickshatched_layers_thsdhd,69.0,35624.406521739125,12990.875986128953,0.0,2222.92,4368.6,16465.400000000005,30986.0,37860.56,44795.6,48763.554,52382.259999999995,54457.628800000006,54477.58
euro_sl_chicken_thsdhd,69.0,733431.4430434783,197415.77591411356,503406.0,504919.748,512452.6,535463.472,597529.49,636311.73,823691.0,1066317.424,1150396.9279999998,1197434.0424,1207387.08
euro_sl_chicken_thsdtonne,69.0,1206.5365217391304,321.9808372898013,840.92,849.8144,891.0079999999999,917.832,985.71,1078.0,1365.62,1652.6760000000004,1902.1939999999995,2139.3451999999997,2200.28
euro_broilingfowl_carcass_priceper100kg_euros,26.0,80.37961538461538,55.214729011796784,19.6,19.61,19.665,19.775,31.7,76.95,146.0,158.0,158.0,158.75,159.0
